,TP9,AF7,AF8,TP10,Right AUX,timestamps
288,999.512,580.078,798.828,999.512,0.000,1711986888.598
289,868.652,-951.172,814.941,800.293,0.000,1711986888.602
290,-634.766,-616.699,-625.000,-735.352,0.000,1711986888.605
291,-1000.000,863.770,-1000.000,-1000.000,0.000,1711986888.609
292,230.469,790.527,341.309,352.051,0.000,1711986888.612
293,999.512,-725.586,999.512,999.512,0.000,1711986888.616
294,19.043,-318.359,-151.855,-76.172,0.000,1711986888.620
295,-1000.000,999.512,-1000.000,-1000.000,0.000,1711986888.623
296,-243.652,218.262,-27.832,-191.406,0.000,1711986888.627
297,999.512,-984.863,999.512,999.512,0.000,1711986888.631
298,235.840,-1000.000,199.707,229.004,0.000,1711986888.634
299,-1000.000,-157.227,-1000.000,-1000.000,0.000,1711986888.638
300,-339.844,999.512,-473.633,-300.293,0.000,1711986888.644
301,999.512,359.375,999.512,999.512,0.000,1711986888.648
302,501.953,-1000.000,572.754,431.641,0.000,1711986888.652
303,-1000.000,-335.449,-933.105,-1000.000,0.000,1711986888.655
304,-728.027,995.117,-741.699,-653.320,0.000,1711986888.659
305,788.574,890.625,700.195,882.812,0.000,1711986888.663
306,999.512,803.711,965.820,999.512,0.000,1711986888.666
307,-204.102,24.414,-432.617,-375.977,0.000,1711986888.670
308,-1000.000,-1000.000,-1000.000,-1000.000,0.000,1711986888.674
309,10.742,-248.047,352.539,136.719,0.000,1711986888.677
310,999.512,999.512,999.512,999.512,0.000,1711986888.681
311,203.125,365.234,-70.801,138.672,0.000,1711986888.685
312,-1000.000,-1000.000,-1000.000,-1000.000,0.000,1711986888.691
313,-268.066,-312.988,-113.281,-258.301,0.000,1711986888.694
314,999.512,881.836,999.512,999.512,0.000,1711986888.698
315,289.551,31.738,266.602,234.375,0.000,1711986888.702
316,-1000.000,-145.020,-1000.000,-1000.000,0.000,1711986888.705
317,-433.594,844.727,-506.348,-362.793,0.000,1711986888.709
318,999.512,988.770,952.148,999.512,0.000,1711986888.713
319,590.332,-296.387,777.344,559.082,0.000,1711986888.716
320,-945.312,-1000.000,-692.383,-1000.000,0.000,1711986888.720
321,-1000.000,-1000.000,-836.914,-920.898,0.000,1711986888.724
322,370.605,-34.668,674.805,599.121,0.000,1711986888.727
323,999.512,999.512,890.625,999.512,0.000,1711986888.731
324,-206.055,-149.414,-497.070,-323.730,0.000,1711986888.737
325,-1000.000,-455.566,-1000.000,-1000.000,0.000,1711986888.741
326,-112.793,999.512,-9.766,-7.812,0.000,1711986888.745
327,999.512,270.508,999.512,999.512,0.000,1711986888.748
328,193.848,-1000.000,156.250,175.781,0.000,1711986888.752
329,-1000.000,-221.191,-1000.000,-1000.000,0.000,1711986888.756
330,-261.719,999.512,-223.145,-262.207,0.000,1711986888.759
331,999.512,204.102,999.512,999.512,0.000,1711986888.763
332,282.715,-1000.000,465.820,277.344,0.000,1711986888.767
333,-1000.000,-442.871,-1000.000,-1000.000,0.000,1711986888.770
334,-521.484,999.512,-584.473,-443.359,0.000,1711986888.774
335,999.512,443.848,931.152,999.512,0.000,1711986888.778
336,736.816,-1000.000,736.328,689.941,0.000,1711986888.783
337,-841.797,-713.867,-714.844,-896.484,0.000,1711986888.787
338,-1000.000,801.270,-964.355,-956.543,0.000,1711986888.791
339,430.664,979.004,410.156,545.898,0.000,1711986888.794
340,999.512,-609.375,999.512,999.512,0.000,1711986888.798
341,-105.957,-751.465,-248.047,-168.457,0.000,1711986888.802
342,-1000.000,827.148,-1000.000,-1000.000,0.000,1711986888.806
343,-122.559,998.535,53.711,-53.711,0.000,1711986888.809
344,999.512,-305.664,999.512,999.512,0.000,1711986888.813
345,217.773,-1000.000,178.711,210.449,0.000,1711986888.817
346,-1000.000,-169.922,-1000.000,-1000.000,0.000,1711986888.820
347,-270.996,999.512,-346.680,-270.508,0.000,1711986888.824
348,999.512,499.512,999.512,999.512,0.000,1711986888.830
349,385.254,-1000.000,543.457,354.980,0.000,1711986888.833
350,-1000.000,-485.352,-948.730,-1000.000,0.000,1711986888.837
351,-665.039,999.512,-682.617,-585.449,0.000,1711986888.841
352,874.023,424.316,807.617,965.820,0.000,1711986888.844
353,999.512,-552.734,890.137,925.293,0.000,1711986888.848
354,-397.461,839.844,-592.773,-576.660,0.000,1711986888.852
355,-1000.000,821.289,-947.266,-1000.000,0.000,1711986888.855
356,132.324,-786.133,522.949,294.922,0.000,1711986888.859
357,999.512,-1000.000,999.512,999.512,0.000,1711986888.863
358,94.727,161.621,-182.617,6.348,0.000,1711986888.866
359,-1000.000,999.512,-1000.000,-1000.000,0.000,1711986888.870
360,-251.953,354.492,-51.758,-190.430,0.000,1711986888.877
361,999.512,-1000.000,999.512,999.512,0.000,1711986888.880
362,231.934,-543.457,228.027,224.121,0.000,1711986888.884
363,-1000.000,986.328,-1000.000,-1000.000,0.000,1711986888.888
364,-298.340,557.129,-342.773,-272.949,0.000,1711986888.892
365,999.512,-988.281,999.512,999.512,0.000,1711986888.895
366,674.316,-369.141,492.188,554.199,0.000,1711986888.899
367,-900.391,999.512,-1000.000,-1000.000,0.000,1711986888.903
368,-916.992,348.633,-687.012,-769.531,0.000,1711986888.906
369,660.156,-1000.000,835.938,844.727,0.000,1711986888.910
370,999.512,-941.406,833.984,960.938,0.000,1711986888.914
371,-357.910,-90.332,-600.586,-519.531,0.000,1711986888.917
372,-1000.000,741.211,-1000.000,-1000.000,0.000,1711986888.924
373,28.320,788.574,178.223,104.004,0.000,1711986888.927
374,999.512,-146.973,999.512,999.512,0.000,1711986888.931
375,136.230,-1000.000,-18.555,48.828,0.000,1711986888.935
376,-1000.000,-32.715,-1000.000,-1000.000,0.000,1711986888.939
377,-255.371,999.512,-166.504,-245.117,0.000,1711986888.942
378,999.512,221.680,999.512,999.512,0.000,1711986888.946
379,239.258,-1000.000,350.098,239.258,0.000,1711986888.950
380,-1000.000,-624.023,-1000.000,-1000.000,0.000,1711986888.953
381,-457.031,880.859,-610.840,-423.828,0.000,1711986888.957
382,999.512,566.895,883.789,999.512,0.000,1711986888.961
383,706.543,-883.301,683.594,590.820,0.000,1711986888.965
384,-906.250,-589.355,-807.129,-1000.000,0.000,1711986888.973
385,-915.527,859.863,-896.973,-841.797,0.000,1711986888.976
386,607.422,671.387,527.344,688.965,0.000,1711986888.980
387,999.512,-757.812,991.699,999.512,0.000,1711986888.984
388,-175.781,-1000.000,-365.723,-271.484,0.000,1711986888.988
389,-1000.000,50.781,-1000.000,-1000.000,0.000,1711986888.991
390,52.734,999.512,93.262,71.777,0.000,1711986888.995
391,999.512,66.406,999.512,999.512,0.000,1711986888.999
392,198.242,-1000.000,118.164,184.570,0.000,1711986889.002
393,-1000.000,-544.434,-1000.000,-1000.000,0.000,1711986889.006
394,-274.414,995.117,-427.734,-267.090,0.000,1711986889.010
395,999.512,267.578,999.512,999.512,0.000,1711986889.014
396,396.484,-1000.000,383.789,295.898,0.000,1711986889.019
397,-1000.000,-360.352,-1000.000,-1000.000,0.000,1711986889.023
398,-506.348,999.512,-678.711,-491.699,0.000,1711986889.027
399,999.512,825.684,797.363,999.512,0.000,1711986889.031
400,819.336,-800.781,770.020,704.590,0.000,1711986889.034
401,-708.008,-519.043,-708.984,-863.770,0.000,1711986889.038
402,-1000.000,999.512,-976.562,-1000.000,0.000,1711986889.042
403,363.770,556.152,412.598,439.453,0.000,1711986889.046
404,999.512,-861.328,999.512,999.512,0.000,1711986889.049
405,-75.195,-840.332,-257.324,-178.223,0.000,1711986889.053
406,-1000.000,618.652,-1000.000,-1000.000,0.000,1711986889.057
407,-194.824,999.512,-84.473,-144.531,0.000,1711986889.060
408,999.512,20.508,999.512,999.512,0.000,1711986889.066
409,227.051,-1000.000,184.570,222.656,0.000,1711986889.070
410,-1000.000,-196.777,-1000.000,-1000.000,0.000,1711986889.074
411,-272.949,999.512,-436.523,-271.973,0.000,1711986889.077
412,999.512,237.305,999.512,999.512,0.000,1711986889.081
