,TP9,AF7,AF8,TP10,Right AUX,timestamps
84,940.918,936.523,-1000.000,37.598,0.000,1713320975.989
85,975.586,977.539,-1000.000,999.512,0.000,1713320975.992
86,905.273,905.762,-1000.000,12.695,0.000,1713320975.995
87,999.512,999.512,-1000.000,-1000.000,0.000,1713320975.999
88,250.977,188.477,-1000.000,-227.051,0.000,1713320976.002
89,-1000.000,-1000.000,-1000.000,999.512,0.000,1713320976.006
90,-277.344,-984.375,-1000.000,-92.773,0.000,1713320976.009
91,999.512,-973.633,-1000.000,-1000.000,0.000,1713320976.013
92,291.504,-944.336,-1000.000,-959.961,0.000,1713320976.016
93,-1000.000,-1000.000,-1000.000,522.461,0.000,1713320976.020
94,-182.129,-220.215,-1000.000,666.016,0.000,1713320976.023
95,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.027
96,939.453,952.148,-1000.000,-993.164,0.000,1713320976.033
97,943.848,942.383,-1000.000,524.414,0.000,1713320976.036
98,966.309,970.703,-1000.000,999.512,0.000,1713320976.040
99,917.480,912.598,-1000.000,-399.902,0.000,1713320976.043
100,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.047
101,112.305,104.492,-1000.000,-55.176,0.000,1713320976.050
102,-1000.000,-1000.000,-1000.000,884.766,0.000,1713320976.054
103,-252.441,-974.121,-1000.000,-520.508,0.000,1713320976.057
104,999.512,-970.215,-1000.000,-1000.000,0.000,1713320976.061
105,194.336,-957.031,-1000.000,-529.297,0.000,1713320976.064
106,-1000.000,-1000.000,-1000.000,999.512,0.000,1713320976.067
107,140.625,-60.547,-1000.000,339.355,0.000,1713320976.071
108,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.075
109,905.273,930.664,-1000.000,-591.309,0.000,1713320976.079
110,972.656,959.473,-1000.000,999.512,0.000,1713320976.082
111,935.547,945.801,-1000.000,612.793,0.000,1713320976.086
112,964.355,950.684,-1000.000,-909.180,0.000,1713320976.089
113,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.093
114,-257.324,-202.148,-1000.000,335.449,0.000,1713320976.096
115,-1000.000,-1000.000,-1000.000,579.102,0.000,1713320976.100
116,14.160,-951.172,-1000.000,-938.965,0.000,1713320976.103
117,999.512,-958.008,-1000.000,-1000.000,0.000,1713320976.107
118,-109.375,-1000.000,-1000.000,-277.832,0.000,1713320976.110
119,-907.715,-969.238,-1000.000,999.512,0.000,1713320976.114
120,682.617,373.047,-1000.000,244.141,0.000,1713320976.120
121,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.123
122,900.391,902.344,-1000.000,-299.805,0.000,1713320976.127
123,997.070,990.234,-994.629,999.512,0.000,1713320976.130
124,898.438,905.762,-997.559,303.711,0.000,1713320976.134
125,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.137
126,678.223,727.051,-1000.000,-811.035,0.000,1713320976.141
127,-834.473,-702.148,-986.816,838.867,0.000,1713320976.144
128,-1000.000,-1000.000,-992.188,299.316,0.000,1713320976.148
129,491.699,-951.660,-1000.000,-1000.000,0.000,1713320976.151
130,999.512,-941.895,-999.512,-1000.000,0.000,1713320976.155
131,-567.871,-1000.000,-1000.000,-220.215,0.000,1713320976.158
132,-577.637,-616.699,-1000.000,999.512,0.000,1713320976.163
133,999.512,831.543,-999.512,26.855,0.000,1713320976.166
134,987.793,999.512,-1000.000,-1000.000,0.000,1713320976.170
135,921.387,910.156,-998.047,-233.398,0.000,1713320976.174
136,987.793,992.188,-984.863,999.512,0.000,1713320976.177
137,898.926,897.461,-997.070,242.188,0.000,1713320976.181
138,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.184
139,372.559,339.355,-999.023,-502.441,0.000,1713320976.188
140,-1000.000,-1000.000,-990.234,999.512,0.000,1713320976.191
141,-640.625,-1000.000,-996.582,210.449,0.000,1713320976.195
142,999.512,-967.773,-1000.000,-1000.000,0.000,1713320976.198
143,642.090,-941.406,-999.512,-1000.000,0.000,1713320976.202
144,-1000.000,-1000.000,-1000.000,55.176,0.000,1713320976.206
145,-253.906,-340.820,-1000.000,999.512,0.000,1713320976.210
146,999.512,995.605,-995.117,-452.637,0.000,1713320976.213
147,936.035,972.168,-1000.000,-1000.000,0.000,1713320976.217
148,940.918,931.641,-969.727,22.949,0.000,1713320976.220
149,975.586,979.004,-926.270,999.512,0.000,1713320976.224
150,904.785,905.762,-996.094,46.875,0.000,1713320976.227
151,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.231
152,253.418,187.988,-991.699,-230.957,0.000,1713320976.234
153,-1000.000,-1000.000,-967.285,999.512,0.000,1713320976.238
154,-315.918,-984.375,-993.652,-18.555,0.000,1713320976.241
155,999.512,-973.633,-1000.000,-1000.000,0.000,1713320976.245
156,304.199,-944.336,-998.047,-947.266,0.000,1713320976.250
157,-1000.000,-1000.000,-1000.000,556.641,0.000,1713320976.253
158,-194.336,-220.215,-1000.000,687.500,0.000,1713320976.257
159,999.512,999.512,-993.652,-1000.000,0.000,1713320976.260
160,941.406,952.148,-1000.000,-1000.000,0.000,1713320976.264
161,942.871,942.383,-922.363,493.652,0.000,1713320976.268
162,966.797,970.215,-890.625,999.512,0.000,1713320976.271
163,917.480,913.574,-1000.000,-348.633,0.000,1713320976.275
164,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.278
165,111.816,98.145,-951.660,-83.496,0.000,1713320976.282
166,-1000.000,-1000.000,-905.273,955.566,0.000,1713320976.285
167,-251.465,-972.656,-1000.000,-413.086,0.000,1713320976.289
168,999.512,-972.656,-1000.000,-1000.000,0.000,1713320976.295
169,201.172,-953.613,-996.094,-532.227,0.000,1713320976.299
170,-1000.000,-1000.000,-998.047,999.512,0.000,1713320976.302
171,90.820,-86.914,-998.535,361.328,0.000,1713320976.306
172,999.512,999.512,-996.094,-1000.000,0.000,1713320976.310
173,909.180,934.082,-1000.000,-585.938,0.000,1713320976.313
174,969.727,958.008,-887.695,988.281,0.000,1713320976.317
175,935.059,943.848,-883.301,583.496,0.000,1713320976.320
176,966.309,955.566,-1000.000,-862.305,0.000,1713320976.324
177,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.327
